Line Number,Time,Position,Velocity
91,6.437112244897965,2.581847974999999,-1.5937000000000028
92,6.562112244897965,2.3060729749999997,-2.818700000000005
93,6.687112244897965,1.877172975000001,-4.0437000000000065
94,6.812112244897965,1.2951479750000041,-5.268700000000006
95,6.937112244897965,0.5599979750000077,-6.493700000000008
95,7.018367346938782,0.0,6.561
96,7.020867346938783,0.016371875000002555,6.536499999999996
97,7.022167346938782,0.024861044000000165,6.523759999999999
98,7.023367346938782,0.03268249999999931,6.512000000000001
99,7.029767346938782,0.07415859600000052,6.449279999999999
100,7.036067346938782,0.11459457899999748,6.387540000000004
101,7.042367346938782,0.15464160000000013,6.3258
102,7.048667346938783,0.19429965900000273,6.264059999999996
103,7.080167346938782,0.3867555239999992,5.9553600000000015
104,7.111767346938782,0.5700519559999997,5.6456800000000005
105,7.143267346938782,0.7430288510000015,5.336979999999997
106,7.1748673469387825,0.9067844750000019,5.027299999999997
107,7.2998673469387825,1.458634475000001,3.802299999999997
108,7.4248673469387825,1.857359475,2.577299999999997
109,7.5498673469387825,2.1029594749999987,1.352299999999997
110,7.6748673469387825,2.195434474999998,0.12729999999999642
111,7.7998673469387825,2.134784474999998,-1.0977000000000032
112,7.9248673469387825,1.9210094749999973,-2.3227000000000038
113,8.049867346938782,1.5541094749999969,-3.547700000000005
114,8.174867346938782,1.0340844749999982,-4.772700000000007
115,8.299867346938782,0.3609344749999991,-5.997700000000006
115,8.357346938775517,-0.0,5.9049000000000005
116,8.359846938775517,0.014731624999997079,5.880400000000005
117,8.361146938775518,0.022367864000000157,5.86766
118,8.362346938775518,0.02940200000000458,5.855899999999993
119,8.368746938775518,0.06667905600000049,5.7931799999999996
120,8.375046938775517,0.10298160899999774,5.7314400000000045
121,8.381346938775517,0.13889519999999508,5.6697000000000095
122,8.387646938775518,0.17441982900000247,5.607959999999997
123,8.419146938775517,0.3462085439999993,5.299260000000002
124,8.450746938775518,0.5087722160000042,4.989579999999993
125,8.482246938775518,0.6610819610000014,4.680879999999998
126,8.513846938775517,0.804104824999998,4.371200000000006
127,8.638846938775517,1.2739423249999984,3.146200000000006
128,8.763846938775517,1.5906548249999988,1.921200000000006
129,8.888846938775517,1.754242324999999,0.6962000000000059
130,9.013846938775517,1.764704824999999,-0.5287999999999933
131,9.138846938775517,1.6220423249999993,-1.7537999999999938
132,9.263846938775517,1.3262548250000004,-2.9787999999999943
133,9.388846938775517,0.877342325000001,-4.203799999999996
134,9.513846938775517,0.27530482500000264,-5.428799999999997
134,9.562428571428578,0.0,5.314500000000001
135,9.564928571428577,0.01325562499999737,5.290000000000005
136,9.566228571428578,0.02012434400000014,5.27726
137,9.567428571428579,0.02645000000000412,5.265499999999993
138,9.573828571428578,0.059948496000000406,5.20278
139,9.580128571428578,0.09253152899999799,5.141040000000005
140,9.586428571428577,0.1247255999999956,5.07930000000001
141,9.592728571428578,0.1565307090000022,5.017559999999997
142,9.624228571428578,0.3097218239999994,4.708860000000002
143,9.655828571428579,0.45362885600000374,4.399179999999993
144,9.687328571428578,0.5873410010000012,4.090479999999998
145,9.718928571428577,0.7117072249999983,3.7808000000000064
146,9.843928571428577,1.1077447249999985,2.5558000000000063
147,9.968928571428577,1.350657224999999,1.3308000000000062
148,10.093928571428577,1.4404447249999994,0.10580000000000611
149,10.218928571428577,1.3771072249999996,-1.119199999999993
150,10.343928571428577,1.1606447250000007,-2.3441999999999936
151,10.468928571428577,0.7910572250000018,-3.569199999999994
152,10.593928571428577,0.2683447250000036,-4.794199999999996
152,10.647020408163272,0.0,4.7826
