Time,theta1,theta1dot,theta2,theta2dot
0.5850569156358721,0.06429981646751969,-0.11658523175470704,-0.22622775095423417,0.2952540614550505
0.5951786976036935,0.06312666852072799,-0.11522486519066752,-0.22321976503181448,0.2990978460132481
0.6053049813925832,0.061966671061154506,-0.11388488925289006,-0.22017172559317008,0.3029004513533393
0.6154352149986717,0.060819691479320336,-0.11256544095794174,-0.21708419022331502,0.3066605785207982
0.6255688144550289,0.059685596892749895,-0.11126666067400882,-0.21395774627199599,0.3103769321880233
0.6357051659259718,0.05856425378542297,-0.10998869140023809,-0.21079301049939092,0.31404822305559005
0.6458436277790808,0.05745552767756449,-0.10873167806300596,-0.2075906286445716,0.3176731702340379
0.6559835326269637,0.056359282825753976,-0.10749576683003746,-0.20435127492067154,0.32125050359752816
0.6661241853384229,0.055275382377566774,-0.10628110491726005,-0.20107565273773928,0.32477896472168205
0.676264868813293,0.05420368770694356,-0.10508783945385844,-0.19776449288103476,0.3282573105558552
0.6864048526912675,0.05314405749694513,-0.1039161160737258,-0.19441855055748664,0.3316843179349209
0.696543386249536,0.05209634851744747,-0.10276607938445372,-0.19103860752726845,0.335058782619631
0.7066797095361327,0.05106041450861898,-0.10163787132628198,-0.1876254681765443,0.3383795244936936
0.7168130507465553,0.05003610653102192,-0.10053163115189573,-0.18417996003626694,0.34164538801933214
0.7269426361898027,0.04902327205283565,-0.09944749403114886,-0.1807029299832763,0.3448552467293947
0.7370676899754066,0.0480217551189877,-0.09838559084440053,-0.17719524380126866,0.34800800421301037
0.7471874410273809,0.047031395808902525,-0.09734604722172246,-0.17365778315510635,0.3511025973134914
0.757301123689771,0.04605203035828577,-0.09632898330608364,-0.1700914446871313,0.3541379971612406
0.7674079839286759,0.045083490752512986,-0.09533451297668126,-0.1664971370912765,0.35711321178666355
0.7775072856623393,0.0441256043453638,-0.09436274313881711,-0.16287577802120373,0.36002728851880345
0.787598309696684,0.043178194203633495,-0.0934137737831413,-0.15922829356867385,0.36287931404917045
0.7976803603819392,0.042241078728535435,-0.09248769733068007,-0.1555556149386524,0.365668416597726
0.8077527704334079,0.04131407147836505,-0.09158459822938506,-0.15185867569441613,0.36839376729590234
